Date,Open,High,Low,Close,Volume
24/10/2018,"13,108 VND","13,155 VND","12,450 VND","12,450 VND","3,610,860"
25/10/2018,"11,839 VND","12,356 VND","11,792 VND","12,262 VND","4,962,160"
26/10/2018,"12,638 VND","12,638 VND","11,980 VND","12,145 VND","3,494,780"
29/10/2018,"12,121 VND","12,215 VND","11,980 VND","12,074 VND","16,280,812"
30/10/2018,"12,074 VND","12,262 VND","12,027 VND","12,121 VND","2,655,080"
31/10/2018,"12,262 VND","12,638 VND","12,262 VND","12,638 VND","2,727,940"
01/11/2018,"12,662 VND","12,662 VND","12,262 VND","12,262 VND","1,605,740"
02/11/2018,"12,497 VND","12,662 VND","12,309 VND","12,497 VND","11,877,580"
05/11/2018,"12,544 VND","12,662 VND","12,450 VND","12,615 VND","1,840,240"
06/11/2018,"12,873 VND","12,873 VND","12,568 VND","12,662 VND","2,348,360"
07/11/2018,"12,544 VND","12,779 VND","12,544 VND","12,685 VND","2,361,000"
08/11/2018,"12,920 VND","12,920 VND","12,662 VND","12,685 VND","1,421,140"
09/11/2018,"12,615 VND","12,662 VND","12,380 VND","12,380 VND","2,221,980"
12/11/2018,"12,356 VND","12,450 VND","12,145 VND","12,356 VND","1,568,920"
13/11/2018,"12,074 VND","12,215 VND","12,074 VND","12,098 VND","53,589,600"
14/11/2018,"12,027 VND","12,215 VND","11,816 VND","11,863 VND","3,435,980"
15/11/2018,"11,863 VND","12,004 VND","11,769 VND","11,863 VND","1,943,700"
16/11/2018,"11,980 VND","12,403 VND","11,957 VND","12,074 VND","1,635,560"
19/11/2018,"12,074 VND","12,544 VND","12,074 VND","12,450 VND","3,509,720"
20/11/2018,"12,356 VND","12,474 VND","12,262 VND","12,403 VND","3,149,060"
21/11/2018,"12,215 VND","12,591 VND","12,168 VND","12,450 VND","8,637,040"
22/11/2018,"12,638 VND","12,638 VND","11,581 VND","12,450 VND","1,850,700"
23/11/2018,"12,450 VND","12,497 VND","12,262 VND","12,262 VND","1,286,780"
26/11/2018,"12,215 VND","12,427 VND","12,192 VND","12,192 VND","2,391,120"
27/11/2018,"12,356 VND","12,450 VND","12,192 VND","12,215 VND","2,754,740"
28/11/2018,"12,215 VND","12,286 VND","12,168 VND","12,286 VND","1,337,940"
29/11/2018,"12,427 VND","12,497 VND","12,239 VND","12,239 VND","3,250,000"
30/11/2018,"12,333 VND","12,356 VND","12,215 VND","12,239 VND","1,270,520"
03/12/2018,"12,450 VND","12,779 VND","12,356 VND","12,779 VND","54,119,680"
04/12/2018,"12,779 VND","13,131 VND","12,779 VND","13,061 VND","46,860,320"
05/12/2018,"12,920 VND","13,296 VND","12,826 VND","13,155 VND","51,740,000"
06/12/2018,"13,155 VND","13,366 VND","13,108 VND","13,225 VND","9,354,340"
07/12/2018,"13,249 VND","13,390 VND","13,061 VND","13,155 VND","51,676,740"
10/12/2018,"13,108 VND","13,319 VND","13,014 VND","13,272 VND","115,869,440"
11/12/2018,"13,319 VND","13,390 VND","13,202 VND","13,296 VND","53,882,940"
